Depot_ID,Depot_Name,District,Year,Month_Number,Month,Buses Allocated,Schedules Allocated,Passengers,Estimated Diesel Litres,Estimated CO2 (Tonnes),Effective KM,Observed Year Effective KM,Estimated EV Energy (MWh),Potential EV OPEX Saving (INR),Diesel Cost (INR/km),EV Cost (INR/km),Diesel Efficiency (km/litre),EV Energy Consumption (kWh/km),Passengers_per_Bus,Diesel_Litres_per_Bus,Diesel_Litres_per_Schedule,CO2_per_Bus_Tonnes,Terrain_Class,Terrain_Score
KSRTC-003,Vikas Bhavan,Thiruvananthapuram,2021,8,August,97,6.56,233622,35677.95,95.617,145566.04,1304349.24,181.958,3493584.81,51,27,4.08,1.25,2408.474227,367.8139175,5438.71189,0.985742268,Flat/Rolling,0.9
KSRTC-003,Vikas Bhavan,Thiruvananthapuram,2021,9,September,96,6.69,242582,36376.25,97.488,148415.1,1304349.24,185.519,3561962.11,51,27,4.08,1.25,2526.895833,378.9192708,5437.406577,1.0155,Flat/Rolling,0.9
KSRTC-003,Vikas Bhavan,Thiruvananthapuram,2021,10,October,96,7.03,238691,37298.86,99.961,152179.35,1304349.24,190.224,3652304.31,51,27,4.08,1.25,2486.364583,388.5297917,5305.669986,1.041260417,Flat/Rolling,0.9
KSRTC-003,Vikas Bhavan,Thiruvananthapuram,2021,11,November,96,6.64,233316,36660.53,98.25,149574.96,1304349.24,186.969,3589798.61,51,27,4.08,1.25,2430.375,381.8805208,5521.164157,1.0234375,Flat/Rolling,0.9
KSRTC-003,Vikas Bhavan,Thiruvananthapuram,2021,12,December,94,6.45,229080,34980.08,93.747,142718.73,1304349.24,178.398,3425249.11,51,27,4.08,1.25,2437.021277,372.1285106,5423.268217,0.997308511,Flat/Rolling,0.9
KSRTC-004,Pappananamcode,Thiruvananthapuram,2021,4,April,72,4.79,183122,42325.24,113.432,172686.98,1529897.47,215.859,4144487.04,51,27,4.08,1.25,2543.361111,587.8505556,8836.167015,1.575444444,Flat/Rolling,0.9
KSRTC-004,Pappananamcode,Thiruvananthapuram,2021,5,May,70,4.95,184551,41714.82,111.796,170196.47,1529897.47,212.746,4084715.58,51,27,4.08,1.25,2636.442857,595.926,8427.236364,1.597085714,Flat/Rolling,0.9
KSRTC-004,Pappananamcode,Thiruvananthapuram,2021,6,June,71,4.65,168089,38948.32,104.382,158909.15,1529897.47,198.636,3813819.77,51,27,4.08,1.25,2367.450704,548.5678873,8375.982796,1.470169014,Flat/Rolling,0.9
KSRTC-004,Pappananamcode,Thiruvananthapuram,2021,7,July,70,4.5,155654,38265.27,102.551,156122.3,1529897.47,195.153,3746935.35,51,27,4.08,1.25,2223.628571,546.6467143,8503.393333,1.465014286,Flat/Rolling,0.9
KSRTC-004,Pappananamcode,Thiruvananthapuram,2021,8,August,70,4.84,186734,43127.67,115.582,175960.89,1529897.47,219.951,4223061.28,51,27,4.08,1.25,2667.628571,616.1095714,8910.67562,1.651171429,Flat/Rolling,0.9
KSRTC-004,Pappananamcode,Thiruvananthapuram,2021,9,September,70,4.9,193962,42954.51,115.118,175254.4,1529897.47,219.068,4206105.46,51,27,4.08,1.25,2770.885714,613.6358571,8766.226531,1.644542857,Flat/Rolling,0.9
KSRTC-004,Pappananamcode,Thiruvananthapuram,2021,10,October,71,5.18,197384,43903.02,117.66,179124.32,1529897.47,223.905,4298983.75,51,27,4.08,1.25,2780.056338,618.3523944,8475.486486,1.657183099,Flat/Rolling,0.9
KSRTC-004,Pappananamcode,Thiruvananthapuram,2021,11,November,70,4.88,192045,43288.28,116.013,176616.18,1529897.47,220.77,4238788.7,51,27,4.08,1.25,2743.5,618.404,8870.54918,1.657328571,Flat/Rolling,0.9
KSRTC-004,Pappananamcode,Thiruvananthapuram,2021,12,December,71,4.79,173894,40447.74,108.4,165026.78,1529897.47,206.283,3960643.11,51,27,4.08,1.25,2449.211268,569.6864789,8444.204593,1.526760563,Flat/Rolling,0.9
KSRTC-005,Peroorkada,Thiruvananthapuram,2021,4,April,64,4.53,192622,44699.51,119.795,182374.0,1616536.56,227.967,4376975.95,51,27,4.08,1.25,3009.71875,698.4298438,9867.441501,1.871796875,Flat/Rolling,0.9
KSRTC-005,Peroorkada,Thiruvananthapuram,2021,5,May,64,4.6,195826,44164.97,118.362,180193.08,1616536.56,225.241,4324633.54,51,27,4.08,1.25,3059.78125,690.0776563,9601.080435,1.84940625,Flat/Rolling,0.9
KSRTC-005,Peroorkada,Thiruvananthapuram,2021,6,June,65,4.31,177802,42488.57,113.869,173353.37,1616536.56,216.692,4160481.02,51,27,4.08,1.25,2735.415385,653.6703077,9858.136891,1.751830769,Flat/Rolling,0.9
KSRTC-005,Peroorkada,Thiruvananthapuram,2021,7,July,64,4.15,167626,38106.6,102.126,155474.93,1616536.56,194.344,3731398.59,51,27,4.08,1.25,2619.15625,595.415625,9182.313253,1.59571875,Flat/Rolling,0.9
KSRTC-005,Peroorkada,Thiruvananthapuram,2021,8,August,67,4.6,191524,45196.02,121.125,184399.76,1616536.56,230.5,4425594.45,51,27,4.08,1.25,2858.567164,674.5674627,9825.221739,1.807835821,Flat/Rolling,0.9
KSRTC-005,Peroorkada,Thiruvananthapuram,2021,9,September,65,4.59,207333,46059.42,123.439,187922.43,1616536.56,234.903,4510138.46,51,27,4.08,1.25,3189.738462,708.6064615,10034.73203,1.899061538,Flat/Rolling,0.9
KSRTC-005,Peroorkada,Thiruvananthapuram,2021,10,October,68,4.49,206537,46436.73,124.45,189461.86,1616536.56,236.827,4547084.63,51,27,4.08,1.25,3037.308824,682.8930882,10342.25612,1.830147059,Flat/Rolling,0.9
KSRTC-005,Peroorkada,Thiruvananthapuram,2021,11,November,64,4.66,198577,45887.84,122.979,187222.39,1616536.56,234.028,4493337.05,51,27,4.08,1.25,3102.765625,716.9975,9847.175966,1.921546875,Flat/Rolling,0.9
KSRTC-005,Peroorkada,Thiruvananthapuram,2021,12,December,65,4.46,189725,43170.28,115.696,176134.74,1616536.56,220.168,4227233.53,51,27,4.08,1.25,2918.846154,664.1581538,9679.434978,1.779938462,Flat/Rolling,0.9
KSRTC-006,Vizhinjam,Thiruvananthapuram,2021,4,April,49,2.92,112325,31220.57,83.671,127379.93,1157579.42,159.225,3057117.79,51,27,4.08,1.25,2292.346939,637.1544898,10691.97603,1.707571429,Flat/Rolling,0.9
KSRTC-006,Vizhinjam,Thiruvananthapuram,2021,5,May,49,2.96,117496,31452.17,84.292,128324.85,1157579.42,160.406,3079796.43,51,27,4.08,1.25,2397.877551,641.8810204,10625.73311,1.720244898,Flat/Rolling,0.9
KSRTC-006,Vizhinjam,Thiruvananthapuram,2021,6,June,49,2.92,110264,28498.06,76.375,116272.08,1157579.42,145.34,2790529.55,51,27,4.08,1.25,2250.285714,581.5930612,9759.609589,1.558673469,Flat/Rolling,0.9
KSRTC-006,Vizhinjam,Thiruvananthapuram,2021,7,July,49,2.75,108666,28635.15,76.742,116831.41,1157579.42,146.039,2803953.53,51,27,4.08,1.25,2217.673469,584.3908163,10412.78182,1.566163265,Flat/Rolling,0.9
KSRTC-006,Vizhinjam,Thiruvananthapuram,2021,8,August,50,2.94,119800,32588.34,87.337,132960.43,1157579.42,166.201,3191050.72,51,27,4.08,1.25,2396.0,651.7668,11084.46939,1.74674,Flat/Rolling,0.9
KSRTC-006,Vizhinjam,Thiruvananthapuram,2021,9,September,50,3.06,124969,33316.66,89.289,135931.97,1157579.42,169.915,3262367.11,51,27,4.08,1.25,2499.38,666.3332,10887.79739,1.78578,Flat/Rolling,0.9
KSRTC-006,Vizhinjam,Thiruvananthapuram,2021,10,October,50,3.1,129268,34295.56,91.912,139925.88,1157579.42,174.907,3358221.04,51,27,4.08,1.25,2585.36,685.9112,11063.08387,1.83824,Flat/Rolling,0.9
KSRTC-006,Vizhinjam,Thiruvananthapuram,2021,11,November,50,3.11,125744,32846.88,88.03,134015.27,1157579.42,167.519,3216366.82,51,27,4.08,1.25,2514.88,656.9376,10561.69775,1.7606,Flat/Rolling,0.9
KSRTC-006,Vizhinjam,Thiruvananthapuram,2021,12,December,49,2.97,118723,30867.06,82.724,125937.6,1157579.42,157.422,3022502.93,51,27,4.08,1.25,2422.918367,629.94,10392.94949,1.688244898,Flat/Rolling,0.9
KSRTC-007,Neyyattinkara,Thiruvananthapuram,2021,4,April,112,3.01,117344,41176.89,110.354,168001.71,1511734.21,210.002,4032041.39,51,27,4.08,1.25,1047.714286,367.6508036,13680.0299,0.985303571,Flat/Rolling,0.9
KSRTC-007,Neyyattinkara,Thiruvananthapuram,2021,5,May,112,3.09,117096,42778.11,114.645,174534.69,1511734.21,218.168,4188832.1,51,27,4.08,1.25,1045.5,381.9474107,13844.04854,1.023616071,Flat/Rolling,0.9
KSRTC-007,Neyyattinkara,Thiruvananthapuram,2021,6,June,112,2.84,111183,38303.69,102.654,156279.06,1511734.21,195.349,3750696.97,51,27,4.08,1.25,992.7053571,341.9972321,13487.21479,0.916553571,Flat/Rolling,0.9
KSRTC-007,Neyyattinkara,Thiruvananthapuram,2021,7,July,111,2.7,103173,37441.54,100.343,152761.48,1511734.21,190.952,3666275.37,51,27,4.08,1.25,929.4864865,337.3111712,13867.23704,0.903990991,Flat/Rolling,0.9
KSRTC-007,Neyyattinkara,Thiruvananthapuram,2021,8,August,112,2.96,121978,40739.27,109.181,166216.22,1511734.21,207.77,3989189.01,51,27,4.08,1.25,1089.089286,363.7434821,13763.26689,0.974830357,Flat/Rolling,0.9
KSRTC-007,Neyyattinkara,Thiruvananthapuram,2021,9,September,107,3.03,127676,43768.57,117.3,178575.77,1511734.21,223.22,4285818.82,51,27,4.08,1.25,1193.233645,409.0520561,14445.07261,1.096261682,Flat/Rolling,0.9
KSRTC-007,Neyyattinkara,Thiruvananthapuram,2021,10,October,109,3.1,127706,43284.64,116.003,176601.33,1511734.21,220.752,4238432.34,51,27,4.08,1.25,1171.614679,397.106789,13962.7871,1.064247706,Flat/Rolling,0.9
KSRTC-007,Neyyattinkara,Thiruvananthapuram,2021,11,November,111,3.02,124364,42491.52,113.877,173365.4,1511734.21,216.707,4160769.39,51,27,4.08,1.25,1120.396396,382.8064865,14070.03974,1.025918919,Flat/Rolling,0.9
KSRTC-007,Neyyattinkara,Thiruvananthapuram,2021,12,December,109,2.98,116737,40538.86,108.644,165398.55,1511734.21,206.748,3969565.57,51,27,4.08,1.25,1070.981651,371.9161468,13603.6443,0.996733945,Flat/Rolling,0.9
KSRTC-008,Parassala,Thiruvananthapuram,2021,4,April,87,5.95,100875,33322.53,89.304,135955.92,1213516.32,169.945,3262941.97,51,27,4.08,1.25,1159.482759,383.0175862,5600.42521,1.026482759,Rolling,0.75
KSRTC-008,Parassala,Thiruvananthapuram,2021,5,May,84,5.65,100929,33142.27,88.821,135220.46,1213516.32,169.026,3245290.98,51,27,4.08,1.25,1201.535714,394.5508333,5865.888496,1.057392857,Rolling,0.75
KSRTC-008,Parassala,Thiruvananthapuram,2021,6,June,84,5.38,94823,30604.19,82.019,124865.1,1213516.32,156.081,2996762.45,51,27,4.08,1.25,1128.845238,364.3355952,5688.511152,0.976416667,Rolling,0.75
KSRTC-008,Parassala,Thiruvananthapuram,2021,7,July,82,5.1,87780,29866.5,80.042,121855.32,1213516.32,152.319,2924528.11,51,27,4.08,1.25,1070.487805,364.2256098,5856.176471,0.976121951,Rolling,0.75
KSRTC-008,Parassala,Thiruvananthapuram,2021,8,August,84,5.7,102276,33799.73,90.583,137902.9,1213516.32,172.379,3309669.98,51,27,4.08,1.25,1217.571429,402.3777381,5929.777193,1.078369048,Rolling,0.75
KSRTC-008,Parassala,Thiruvananthapuram,2021,9,September,86,5.9,108614,34508.34,92.482,140794.03,1213516.32,175.993,3379056.25,51,27,4.08,1.25,1262.953488,401.2597674,5848.871186,1.075372093,Rolling,0.75
KSRTC-008,Parassala,Thiruvananthapuram,2021,10,October,87,6.03,110218,35486.61,95.104,144785.37,1213516.32,180.982,3474849.11,51,27,4.08,1.25,1266.873563,407.892069,5885.00995,1.093149425,Rolling,0.75
KSRTC-008,Parassala,Thiruvananthapuram,2021,11,November,85,5.75,102212,34523.92,92.524,140857.59,1213516.32,176.072,3380581.87,51,27,4.08,1.25,1202.494118,406.1637647,6004.16,1.088517647,Rolling,0.75
KSRTC-008,Parassala,Thiruvananthapuram,2021,12,December,83,5.6,98289,32176.38,86.233,131279.63,1213516.32,164.1,3150711.43,51,27,4.08,1.25,1184.204819,387.6672289,5745.782143,1.038951807,Rolling,0.75
KSRTC-009,Nedumangad,Thiruvananthapuram,2021,4,April,95,4.32,309875,47659.79,127.728,194451.94,1716411.81,243.065,4666846.16,51,27,4.08,1.25,3261.842105,501.682,11032.3588,1.344505263,Flat/Rolling,0.9
KSRTC-009,Nedumangad,Thiruvananthapuram,2021,5,May,94,4.34,312514,46678.85,125.099,190449.71,1716411.81,238.062,4570793.03,51,27,4.08,1.25,3324.617021,496.5835106,10755.49539,1.330840426,Flat/Rolling,0.9
KSRTC-009,Nedumangad,Thiruvananthapuram,2021,6,June,95,4.24,280131,44623.86,119.592,182065.35,1716411.81,227.582,4369568.03,51,27,4.08,1.25,2948.747368,469.7248421,10524.49528,1.258863158,Flat/Rolling,0.9
KSRTC-009,Nedumangad,Thiruvananthapuram,2021,7,July,92,3.99,289715,41057.66,110.035,167515.25,1716411.81,209.394,4020365.64,51,27,4.08,1.25,3149.076087,446.278913,10290.14035,1.196032609,Flat/Rolling,0.9
KSRTC-009,Nedumangad,Thiruvananthapuram,2021,8,August,98,4.35,299154,48866.05,130.961,199373.48,1716411.81,249.217,4784963.52,51,27,4.08,1.25,3052.591837,498.6331633,11233.57471,1.336336735,Flat/Rolling,0.9
KSRTC-009,Nedumangad,Thiruvananthapuram,2021,9,September,94,4.43,337172,47515.36,127.341,193862.67,1716411.81,242.328,4652703.88,51,27,4.08,1.25,3586.93617,505.4825532,10725.8149,1.354691489,Flat/Rolling,0.9
KSRTC-009,Nedumangad,Thiruvananthapuram,2021,10,October,95,4.58,338796,50251.01,134.673,205024.12,1716411.81,256.28,4920578.83,51,27,4.08,1.25,3566.273684,528.958,10971.83624,1.417610526,Flat/Rolling,0.9
KSRTC-009,Nedumangad,Thiruvananthapuram,2021,11,November,93,4.39,305952,47303.5,126.773,192998.28,1716411.81,241.248,4631958.72,51,27,4.08,1.25,3289.806452,508.6397849,10775.28474,1.363150538,Flat/Rolling,0.9
KSRTC-009,Nedumangad,Thiruvananthapuram,2021,12,December,95,4.27,290807,46733.09,125.245,190671.01,1716411.81,238.339,4576104.39,51,27,4.08,1.25,3061.126316,491.9272632,10944.51756,1.318368421,Flat/Rolling,0.9
KSRTC-010,Aryanad,Thiruvananthapuram,2021,4,April,44,5.43,166961,76154.03,204.093,310708.44,2753913.05,388.386,7457002.26,51,27,4.08,1.25,3794.568182,1730.773409,14024.68324,4.638477273,Flat,1.0
KSRTC-010,Aryanad,Thiruvananthapuram,2021,5,May,45,5.56,177370,77034.55,206.453,314300.96,2753913.05,392.876,7543223.06,51,27,4.08,1.25,3941.555556,1711.878889,13855.13489,4.587844444,Flat,1.0
KSRTC-010,Aryanad,Thiruvananthapuram,2021,6,June,45,5.13,158617,69263.35,185.626,282594.47,2753913.05,353.243,6782267.12,51,27,4.08,1.25,3524.822222,1539.185556,13501.62768,4.125022222,Flat,1.0
KSRTC-010,Aryanad,Thiruvananthapuram,2021,7,July,43,5.05,154393,66827.65,179.098,272656.81,2753913.05,340.821,6543763.39,51,27,4.08,1.25,3590.534884,1554.131395,13233.19802,4.165069767,Flat,1.0
KSRTC-010,Aryanad,Thiruvananthapuram,2021,8,August,45,5.58,175566,74958.8,200.89,305831.9,2753913.05,382.29,7339965.98,51,27,4.08,1.25,3901.466667,1665.751111,13433.4767,4.464222222,Flat,1.0
KSRTC-010,Aryanad,Thiruvananthapuram,2021,9,September,42,5.51,181349,80267.96,215.118,327493.28,2753913.05,409.367,7859838.74,51,27,4.08,1.25,4317.833333,1911.141905,14567.68784,5.121857143,Flat,1.0
KSRTC-010,Aryanad,Thiruvananthapuram,2021,10,October,47,5.62,188577,81008.95,217.104,330516.52,2753913.05,413.146,7932396.57,51,27,4.08,1.25,4012.276596,1723.594681,14414.40391,4.619234043,Flat,1.0
KSRTC-010,Aryanad,Thiruvananthapuram,2021,11,November,44,5.48,186188,77487.85,207.667,316150.43,2753913.05,395.188,7587610.33,51,27,4.08,1.25,4231.545455,1761.0875,14140.11861,4.719704545,Flat,1.0
KSRTC-010,Aryanad,Thiruvananthapuram,2021,12,December,45,5.27,169633,71975.55,192.894,293660.24,2753913.05,367.075,7047846.08,51,27,4.08,1.25,3769.622222,1599.456667,13657.59962,4.286533333,Flat,1.0
KSRTC-011,Vithura,Thiruvananthapuram,2021,4,April,40,3.09,187402,51799.46,138.823,211341.8,1831680.54,264.177,5072203.53,51,27,4.08,1.25,4685.05,1294.9865,16763.57929,3.470575,Flat,1.0
KSRTC-011,Vithura,Thiruvananthapuram,2021,5,May,41,3.01,197946,51563.09,138.189,210377.41,1831680.54,262.972,5049057.96,51,27,4.08,1.25,4827.95122,1257.636341,17130.59468,3.370463415,Flat,1.0
KSRTC-011,Vithura,Thiruvananthapuram,2021,6,June,41,2.81,181503,45938.15,123.114,187427.65,1831680.54,234.285,4498263.88,51,27,4.08,1.25,4426.902439,1120.442683,16348.09609,3.002780488,Flat,1.0
KSRTC-011,Vithura,Thiruvananthapuram,2021,7,July,39,2.72,169328,44304.27,118.735,180761.42,1831680.54,225.952,4338274.22,51,27,4.08,1.25,4341.74359,1136.006923,16288.33456,3.044487179,Flat,1.0
KSRTC-011,Vithura,Thiruvananthapuram,2021,8,August,40,3.06,194986,50330.5,134.886,205348.44,1831680.54,256.686,4928362.9,51,27,4.08,1.25,4874.65,1258.2625,16447.87582,3.37215,Flat,1.0
KSRTC-011,Vithura,Thiruvananthapuram,2021,9,September,40,3.02,194965,52255.8,140.046,213203.66,1831680.54,266.505,5116887.69,51,27,4.08,1.25,4874.125,1306.395,17303.24503,3.50115,Flat,1.0
KSRTC-011,Vithura,Thiruvananthapuram,2021,10,October,40,3.1,209084,53331.3,142.928,217591.7,1831680.54,271.99,5222201.21,51,27,4.08,1.25,5227.1,1333.2825,17203.64516,3.5732,Flat,1.0
KSRTC-011,Vithura,Thiruvananthapuram,2021,11,November,40,2.94,198632,52022.53,139.42,212251.92,1831680.54,265.315,5094045.74,51,27,4.08,1.25,4965.8,1300.56325,17694.7381,3.4855,Flat,1.0
KSRTC-011,Vithura,Thiruvananthapuram,2021,12,December,39,3.0,178369,47396.21,127.022,193376.54,1831680.54,241.721,4641036.96,51,27,4.08,1.25,4573.564103,1215.287436,15798.73667,3.256974359,Flat,1.0
KSRTC-012,Kattakada,Thiruvananthapuram,2021,4,April,81,4.9,99289,49720.53,133.251,202859.76,1819446.22,253.575,4868634.28,51,27,4.08,1.25,1225.790123,613.8337037,10147.04694,1.645074074,Steep,0.2
KSRTC-012,Kattakada,Thiruvananthapuram,2021,5,May,81,4.9,102619,51309.84,137.51,209344.15,1819446.22,261.68,5024259.65,51,27,4.08,1.25,1266.901235,633.4548148,10471.39592,1.697654321,Steep,0.2
KSRTC-012,Kattakada,Thiruvananthapuram,2021,6,June,81,4.71,87476,46758.94,125.314,190776.48,1819446.22,238.471,4578635.67,51,27,4.08,1.25,1079.950617,577.2708642,9927.58811,1.54708642,Steep,0.2
KSRTC-012,Kattakada,Thiruvananthapuram,2021,7,July,79,4.38,86968,44602.92,119.536,181979.91,1819446.22,227.475,4367517.72,51,27,4.08,1.25,1100.860759,564.5939241,10183.31507,1.513113924,Steep,0.2
KSRTC-012,Kattakada,Thiruvananthapuram,2021,8,August,79,4.81,102013,50241.05,134.646,204983.48,1819446.22,256.229,4919603.75,51,27,4.08,1.25,1291.303797,635.9626582,10445.12474,1.704379747,Steep,0.2
KSRTC-012,Kattakada,Thiruvananthapuram,2021,9,September,80,5.1,100365,53531.72,143.465,218409.42,1819446.22,273.012,5241826.1,51,27,4.08,1.25,1254.5625,669.1465,10496.41569,1.7933125,Steep,0.2
KSRTC-012,Kattakada,Thiruvananthapuram,2021,10,October,78,5.15,106758,51655.35,138.436,210753.83,1819446.22,263.442,5058091.62,51,27,4.08,1.25,1368.692308,662.2480769,10030.16505,1.774820513,Steep,0.2
KSRTC-012,Kattakada,Thiruvananthapuram,2021,11,November,80,5.14,103166,49942.61,133.846,203765.85,1819446.22,254.707,4890380.1,51,27,4.08,1.25,1289.575,624.282625,9716.461089,1.673075,Steep,0.2
KSRTC-012,Kattakada,Thiruvananthapuram,2021,12,December,82,4.67,94328,48179.74,129.122,196573.34,1819446.22,245.717,4717760.55,51,27,4.08,1.25,1150.341463,587.5578049,10316.86081,1.574658537,Steep,0.2
KSRTC-013,Attingal,Thiruvananthapuram,2021,4,April,92,6.17,290993,40161.77,107.634,163860.02,1473708.49,204.825,3932640.8,51,27,4.08,1.25,3162.967391,436.5409783,6509.200972,1.169934783,Flat/Rolling,0.9
KSRTC-013,Attingal,Thiruvananthapuram,2021,5,May,89,6.28,308126,40093.34,107.45,163580.83,1473708.49,204.476,3925939.78,51,27,4.08,1.25,3462.089888,450.4869663,6384.289809,1.207303371,Flat/Rolling,0.9
KSRTC-013,Attingal,Thiruvananthapuram,2021,6,June,92,6.02,274122,38585.19,103.408,157427.58,1473708.49,196.784,3778261.66,51,27,4.08,1.25,2979.586957,419.4042391,6409.5,1.124,Flat/Rolling,0.9
KSRTC-013,Attingal,Thiruvananthapuram,2021,7,July,90,5.74,263989,37196.09,99.686,151760.05,1473708.49,189.7,3642240.74,51,27,4.08,1.25,2933.211111,413.2898889,6480.155052,1.107622222,Flat/Rolling,0.9
