Depot ID,Effective KM,Passengers,Buses Allocated,Schedules Allocated,Estimated CO2 (Tonnes),Estimated EV Energy (MWh),Potential EV OPEX Saving (INR),Terrain_Score,Predicted_2026_Priority,Probability_Conditional,Probability_Defer_Diesel,Probability_EV Priority,Depot Name,District,Prediction_Confidence,OPEX_Saving_Score,CO2_Reduction_Per_Bus,CO2_Reduction_Score,ML_Suitability_Score,Terrain_Suitability_Score,Transition_Priority_Score,Transition_Rank,Final_Transition_Category,Max_EV_Buses,OPEX_Saving_Per_Bus,Allocation_Benefit_Score,Eligible_for_EV,Max_EV_Allocation,Benefit_Per_EV,Optimized_EV_Buses,Diesel_Buses_After_Transition,EV_Investment_INR,Expected_Annual_OPEX_Saving_INR,Expected_Annual_CO2_Reduction_Tonnes
KSRTC-025,5524005,7499149,66.5,62.25,3628.068472000981,6906,132576120,0.9,EV Priority,0.2315328644622141,0.0015913965989788625,0.766875738938807,KARUNAGAPPALLY,Kollam,0.766875738938807,0.576741662305037,54.55742063159369,0.49915579183318043,0.766875738938807,0.9,0.66960395263367,11,Medium Priority,66,1993625.8646616542,1334939.7590501618,True,16,0.66960395263367,0,66,0,0.0,0.0
KSRTC-039,5562246,7551063,67.0,62.75,3653.1844822938374,6954,133493904,0.9,EV Priority,0.21799490856669534,0.0014153227984614952,0.7805897686348432,KULATHUPUZHA,Kollam,0.7805897686348432,0.5837375272788607,54.525141526773695,0.45935093543318595,0.7805897686348432,0.9,0.6692273527242327,12,Medium Priority,67,1992446.328358209,1333399.5817722816,True,16,0.6692273527242327,0,67,0,0.0,0.0
KSRTC-036,5535745,7515088,66.66666666666667,62.25,3635.779095699057,6919,132857880,0.9,EV Priority,0.22544596880965037,0.0015564895742280515,0.7729975416161217,KOTTARAKKARA,Kollam,0.7729975416161217,0.5788893952302401,54.536686435485855,0.4735874960813572,0.7729975416161217,0.9,0.6675833344317921,13,Medium Priority,67,1992868.2,1330405.5980390834,True,16,0.6675833344317921,0,67,0,0.0,0.0
KSRTC-016,5488237,7450592,66.08333333333333,60.833333333333336,3604.576684229874,6859,131717688,0.9,EV Priority,0.23328247609041816,0.0019308968313295613,0.7647866270782523,ERNAKULAM,Ernakulam,0.7647866270782523,0.5701982116007215,54.545927125798855,0.4849826184986891,0.7647866270782523,0.9,0.6639706380112552,14,Medium Priority,66,1993205.8713745272,1323430.1741043248,True,16,0.6639706380112552,0,66,0,0.0,0.0
KSRTC-071,5540848,7522015,66.75,62.5,3639.1306555569176,6926,132980352,0.9,EV Priority,0.2248792098850673,0.001503637693295527,0.7736171524216372,PUNALUR,Kollam,0.7736171524216372,0.579822945580948,54.51881131920476,0.45154486383768244,0.7736171524216372,0.9,0.6637027174104758,15,Medium Priority,67,1992215.0112359552,1322238.516623245,True,16,0.6637027174104758,0,67,0,0.0,0.0
KSRTC-006,5539540,7520239,66.75,62.416666666666664,3638.2715843646615,6926,132948960,0.9,EV Priority,0.2240472676808721,0.0015153038737419425,0.774437428445386,CHADAYAMANGALAM,Kollam,0.774437428445386,0.5795836581306784,54.505941338796426,0.4356742960235767,0.774437428445386,0.9,0.6607849280220732,16,Medium Priority,67,1991744.7191011235,1316114.8908495803,True,16,0.6607849280220732,0,67,0,0.0,0.0
KSRTC-056,5325126,7229160,64.08333333333333,56.166666666666664,3497.4482734958956,6656,127803024,0.9,EV Priority,0.2632841105794583,0.003952056924870464,0.7327638324956713,PALAKKAD,Palakkad,0.7327638324956713,0.540358444551079,54.57656603634688,0.5227648755165765,0.7327638324956713,0.9,0.6497660414669074,17,Medium Priority,64,1994325.4720416127,1295844.9673651003,True,16,0.6497660414669074,0,64,0,0.0,0.0
KSRTC-038,4839211,6569500,58.166666666666664,54.333333333333336,3178.3079230486464,6051,116141064,0.9,Conditional,0.5300594124246196,0.00901938362661767,0.4609212039487627,KOZHIKKODE,Kozhikode,0.5300594124246196,0.4514644373662355,54.64139695785639,0.6027108819301834,0.4609212039487627,0.9,0.5303499891754124,18,Medium Priority,58,1996694.5100286533,1058946.9117803017,True,14,0.5303499891754124,0,58,0,0.0,0.0
KSRTC-082,5328221,7233360,64.16666666666667,82.58333333333333,3499.481014581547,6660,127877304,0.9,Conditional,0.6117138760110885,0.0002487734969062303,0.38803735049200533,TRIVANDRUM - CENTRAL,Thiruvananthapuram,0.6117138760110885,0.5409246484184984,54.53736646101112,0.47442606699378986,0.38803735049200533,0.9,0.5023775481211097,19,Medium Priority,64,1992893.0493506491,1001184.7238003807,True,16,0.5023775481211097,0,64,0,0.0,0.0
KSRTC-074,6708172,9106725,80.58333333333333,66.83333333333333,4405.808347016297,8385,160996128,0.4,Defer / Diesel,0.2064271985086662,0.6572805667218944,0.13629223476943944,SULTHAN BATHERY,Wayanad,0.6572805667218944,0.7933749208092087,54.67394019048146,0.6428414465371083,0.13629223476943944,0.4,0.4610976594579601,20,Medium Priority,81,1997883.6980351603,921219.4970332263,False,0,0.4610976594579601,0,81,0,0.0,0.0
KSRTC-055,4992932,6778189,59.916666666666664,53.083333333333336,3279.2691483886783,6240,119830368,0.75,Conditional,0.6615273266163885,0.09646488097204128,0.2420077924115702,PALA,Kottayam,0.6615273266163885,0.47958638395866693,54.73050039035346,0.7125884437482947,0.2420077924115702,0.75,0.45819672090188707,21,Medium Priority,60,1999950.5090403338,916370.7652083408,True,15,0.45819672090188707,0,60,0,0.0,0.0
KSRTC-021,6763262,9181513,81.41666666666667,67.83333333333333,4441.990481558633,8454,162318288,0.4,Defer / Diesel,0.21831876879207107,0.6195409854451962,0.16214024576273267,KALPETTA,Wayanad,0.6195409854451962,0.803453166707798,54.558736723340424,0.5007787254083197,0.16214024576273267,0.4,0.4460477933990964,22,Low Priority,81,1993673.957011259,889273.869282117,False,0,0.4460477933990964,0,81,0,0.0,0.0
KSRTC-044,6755460,9170922,81.33333333333333,67.83333333333333,4436.866266388924,8445,162131040,0.4,Defer / Diesel,0.219172023552038,0.6209499254121271,0.15987805103583494,MANANTHAVADY,Wayanad,0.6209499254121271,0.8020258573140643,54.55163442281464,0.49202055029426245,0.15987805103583494,0.4,0.4429630876674058,23,Low Priority,81,1993414.4262295084,883009.0092433731,False,0,0.4429630876674058,0,81,0,0.0,0.0
KSRTC-015,4998297,6785472,60.166666666666664,53.25,3282.7927851978925,6249,119959128,0.75,Conditional,0.6559159593446686,0.0943705936530662,0.24971344700226514,EERATTUPETTAH,Kottayam,0.6559159593446686,0.4805678649760191,54.561652939577165,0.5043748464650258,0.24971344700226514,0.75,0.41993070758671697,24,Low Priority,60,1993780.5207756234,837249.6648619205,True,15,0.41993070758671697,0,60,0,0.0,0.0
KSRTC-008,4976457,6755823,59.916666666666664,52.666666666666664,3268.4486607033455,6220,119434968,0.75,Conditional,0.6545607661165713,0.10153436186577815,0.2439048720176505,CHANGANASSERY,Kottayam,0.6545607661165713,0.4765724231458287,54.54990810631453,0.48989174961125814,0.2439048720176505,0.75,0.41351202567306045,25,Low Priority,60,1993351.3435326843,824274.7519423169,True,15,0.41351202567306045,0,60,0,0.0,0.0
KSRTC-086,4995507,6781684,60.166666666666664,53.25,3280.96036270065,6244,119892168,0.75,Conditional,0.6560641672933063,0.09450214635217573,0.2494336863545179,VAIKKOM,Kottayam,0.6560641672933063,0.48005745825870083,54.53119716399972,0.46681842164560117,0.2494336863545179,0.75,0.4121543963485377,26,Low Priority,60,1992667.6121883658,821286.7168247779,True,15,0.4121543963485377,0,60,0,0.0,0.0
KSRTC-019,3981537,5405165,47.916666666666664,45.25,2615.0028574929547,4977,95556888,1.0,Conditional,0.7147274580844871,0.00933682737701114,0.2759357145385019,HARIPPAD,Alappuzha,0.7147274580844871,0.29456029010127455,54.57397267811384,0.5195668855897914,0.2759357145385019,1.0,0.4026557499637414,27,Low Priority,48,1994230.7060869567,802988.4605601651,True,12,0.4026557499637414,0,48,0,0.0,0.0
KSRTC-010,3954520,5368483,47.583333333333336,44.666666666666664,2597.2585712535233,4943,94908480,1.0,Conditional,0.7217124288119255,0.01013858988486358,0.26814898130321074,CHENGANUR,Alappuzha,0.7217124288119255,0.2896177602511713,54.583367521965464,0.5311521018620393,0.26814898130321074,1.0,0.4003753409690436,28,Low Priority,48,1994574.0105078807,798578.2495450855,True,12,0.4003753409690436,0,48,0,0.0,0.0
KSRTC-068,4956949,6729340,59.75,52.416666666666664,3255.6361524323,6195,118966776,0.75,Conditional,0.6560944255889938,0.10513967174678732,0.2387659026642188,PONKUNNAM,Kottayam,0.6560944255889938,0.473003600837067,54.48763435033138,0.41309910222464946,0.2387659026642188,0.75,0.3950272617617375,29,Low Priority,60,1991075.7489539748,786529.2010694894,True,15,0.3950272617617375,0,60,0,0.0,0.0
KSRTC-014,3979151,5401922,47.916666666666664,45.25,2613.4357750275703,4974,95499624,1.0,Conditional,0.7148762007292596,0.009345511840542853,0.27577828743019756,EDATHUVA,Alappuzha,0.7148762007292596,0.2941237917401558,54.54126834840147,0.4792376647170897,0.27577828743019756,1.0,0.39439598543754373,30,Low Priority,48,1993035.631304348,786045.2518204154,True,12,0.39439598543754373,0,48,0,0.0,0.0
KSRTC-046,3944910,5355441,47.5,44.75,2590.9468937630195,4932,94677840,1.0,Conditional,0.726267325581972,0.010075539522245911,0.26365713489578196,MAVELIKKARA,Alappuzha,0.726267325581972,0.28785969266929723,54.54625039501094,0.485381256708677,0.26365713489578196,1.0,0.38889701310083735,31,Low Priority,48,1993217.6842105263,775156.4038492418,True,12,0.38889701310083735,0,48,0,0.0,0.0
KSRTC-011,3970297,5389901,47.833333333333336,45.0,2607.6206249234165,4962,95287128,1.0,Conditional,0.7155615375731861,0.009670508932564706,0.2747679534942492,CHERTHALA,Alappuzha,0.7155615375731861,0.29250402791394214,54.51471689735365,0.4464958429700608,0.2747679534942492,1.0,0.3869575583658945,32,Low Priority,48,1992065.393728223,770844.7608622675,True,12,0.3869575583658945,0,48,0,0.0,0.0
KSRTC-029,3974394,5395465,47.916666666666664,45.083333333333336,2610.3114618306586,4968,95385456,1.0,Conditional,0.7131588727820831,0.009551738320960236,0.2772893888969568,KAYAMKULAM,Alappuzha,0.7131588727820831,0.2932535391400543,54.47606529037896,0.3988327595656129,0.2772893888969568,1.0,0.3786583692139216,33,Low Priority,48,1990652.9947826087,753777.4166751918,True,12,0.3786583692139216,0,48,0,0.0,0.0
KSRTC-081,4036844,5480242,48.5,41.333333333333336,2651.3275137850756,5046,96884256,0.9,Conditional,0.7631984861653827,0.06282231565581292,0.17397919817880428,THRISSUR,Thrissur,0.7631984861653827,0.30467823430009977,54.66654667598094,0.6337241620081342,0.17397919817880428,0.9,0.37773998196317854,34,Low Priority,48,1997613.5257731958,754578.4971949685,True,12,0.37773998196317854,0,48,0,0.0,0.0
KSRTC-054,4090453,5553018,49.166666666666664,45.5,2686.536953804681,5114,98170872,0.9,Conditional,0.7968575428664132,0.03763902778977122,0.16550342934381548,NORTH PARAVUR,Ernakulam,0.7968575428664132,0.31448554387311617,54.64142956890877,0.602751096126469,0.16550342934381548,0.9,0.37109725412475486,35,Low Priority,49,1996695.7016949153,740968.2922216837,True,12,0.37109725412475486,0,49,0,0.0,0.0
KSRTC-045,3929071,5333937,47.166666666666664,41.166666666666664,2580.5441195931876,4911,94297704,0.9,Conditional,0.7969049805547682,0.06521864124013904,0.13787637820509277,MANNARKKAD,Palakkad,0.7969049805547682,0.2849620826350305,54.71118274755875,0.688766965373422,0.13787637820509277,0.9,0.3683925691472307,36,Low Priority,47,1999244.6077738516,736506.8574115566,True,11,0.3683925691472307,0,47,0,0.0,0.0
KSRTC-003,4106310,5574549,49.416666666666664,46.0,2696.9515500551406,5134,98551440,0.9,Conditional,0.7954794277807704,0.03532539137988814,0.1691951808393414,ALUVA,Ernakulam,0.7954794277807704,0.3173864468539463,54.57574806182409,0.5217561933179826,0.1691951808393414,0.9,0.35724524505551697,37,Low Priority,49,1994295.5817875213,712452.6138288178,True,12,0.35724524505551697,0,49,0,0.0,0.0
KSRTC-013,3932110,5338065,47.25,41.333333333333336,2582.5400808724426,4915,94370640,0.9,Conditional,0.7971318662247702,0.06395045045569213,0.13891768331953777,CHITTOOR,Palakkad,0.7971318662247702,0.28551804177980833,54.6569329285173,0.621869005572108,0.13891768331953777,0.9,0.35559628697617923,38,Low Priority,47,1997262.2222222222,710219.0303400148,True,11,0.35559628697617923,0,47,0,0.0,0.0
KSRTC-034,4078960,5537420,49.083333333333336,45.083333333333336,2678.988555324103,5099,97895040,0.9,Conditional,0.7945804224886684,0.03972282911432867,0.16569674839700294,KOOTHATTUKULAM,Ernakulam,0.7945804224886684,0.3123829974924212,54.58041199302077,0.5275075024877479,0.16569674839700294,0.9,0.3554950991040771,39,Low Priority,49,1994466.0101867572,709022.8919510546,True,12,0.3554950991040771,0,49,0,0.0,0.0
KSRTC-085,3938458,5346682,47.333333333333336,41.666666666666664,2586.709334640363,4924,94522992,0.9,Conditional,0.7994232522324172,0.06138017402818904,0.13919657373939381,VADAKKANCHERY,Palakkad,0.7994232522324172,0.28667935426781427,54.64878876000767,0.6118260548821507,0.13919657373939381,0.9,0.354047646752532,40,Low Priority,47,1996964.6197183097,707020.6242593324,True,11,0.354047646752532,0,47,0,0.0,0.0
KSRTC-023,3918459,5319532,47.0,60.5,2573.5743462810933,4899,94043016,0.9,Conditional,0.9418391511354341,0.005458275452963742,0.05270257341160217,KANIYAPURAM,Thiruvananthapuram,0.9418391511354341,0.2830207076944636,54.75690098470411,0.7451442371280093,0.05270257341160217,0.9,0.34501608909858184,41,Low Priority,47,2000915.2340425532,690347.9486671353,True,11,0.34501608909858184,0,47,0,0.0,0.0
KSRTC-067,4101714,5568310,49.416666666666664,45.666666666666664,2693.9329788016175,5125,98441136,0.9,Conditional,0.7918946371007266,0.03688266653206912,0.17122269636720433,PIRAVOM,Ernakulam,0.7918946371007266,0.3165456478314392,54.514663989240155,0.4464305995293943,0.17122269636720433,0.9,0.3427388928021924,42,Low Priority,49,1992063.460370995,682757.6247992589,True,12,0.3427388928021924,0,49,0,0.0,0.0
KSRTC-066,4088368,5550189,49.25,45.583333333333336,2685.1675627986765,5110,98120832,0.9,Conditional,0.7957552457574654,0.037338201226561576,0.16690655301597299,PERUMBAVOOR,Ernakulam,0.7957552457574654,0.31410411089619555,54.52116878779039,0.45445196733518456,0.16690655301597299,0.9,0.34188424794228484,43,Low Priority,49,1992301.1573604061,681136.3828587062,True,12,0.34188424794228484,0,49,0,0.0,0.0
KSRTC-078,3566681,4841974,42.75,39.916666666666664,2342.532797451293,4457,85600344,0.9,Conditional,0.8616731972106814,0.07623192143370049,0.062094881355618144,THIRUVAMBADY,Kozhikode,0.8616731972106814,0.21866592124113352,54.79608882927001,0.7934685798961703,0.062094881355618144,0.9,0.3391314448938214,44,Low Priority,43,2002347.2280701755,679058.9086345768,True,10,0.3391314448938214,0,43,0,0.0,0.0
KSRTC-048,4079235,5537796,49.166666666666664,45.333333333333336,2679.169170444799,5100,97901640,0.9,Conditional,0.7953004790349197,0.038561508869121124,0.16613801209595924,MOOVATTUPUZHA,Ernakulam,0.7953004790349197,0.31243330639825007,54.49157634802981,0.41796016182310997,0.16613801209595924,0.9,0.33377722912248076,45,Low Priority,49,1991219.7966101696,664623.8262863721,True,12,0.33377722912248076,0,49,0,0.0,0.0
KSRTC-035,4090958,5553705,49.333333333333336,45.5,2686.8686288445047,5117,98182992,0.9,Conditional,0.7923697033707024,0.037689315998863486,0.16994098063043406,KOTHAMANGALAM,Ernakulam,0.7923697033707024,0.31457792931836553,54.463553287388606,0.3834036302547269,0.16994098063043406,0.9,0.3290304970986287,46,Low Priority,49,1990195.7837837837,654835.1080619732,True,12,0.3290304970986287,0,49,0,0.0,0.0
KSRTC-084,3574622,4852753,42.916666666666664,40.083333333333336,2347.748305354736,4467,85790928,0.9,Conditional,0.8614929651232688,0.07488980162903187,0.06361723324769937,VADAKARA,Kozhikode,0.8614929651232688,0.22011865949999534,54.70481488205211,0.6809144560340294,0.06361723324769937,0.9,0.31766538235588426,47,Low Priority,43,1999011.9145631068,635016.8841736576,True,10,0.31766538235588426,0,43,0,0.0,0.0
KSRTC-030,3944480,5354858,47.416666666666664,61.25,2590.664477392477,4930,94667520,0.9,Conditional,0.9400714021170423,0.004974429981923638,0.0549541679010339,KILIMANOOR,Thiruvananthapuram,0.9400714021170423,0.2877810278347285,54.636157695447665,0.5962501052455755,0.0549541679010339,0.9,0.3175659965599472,48,Low Priority,47,1996503.0579964851,634021.4832476359,True,11,0.3175659965599472,0,47,0,0.0,0.0
KSRTC-088,3937568,5345469,47.333333333333336,61.166666666666664,2586.124798431565,4922,94501632,0.9,Conditional,0.9406928825898618,0.0050253086681901924,0.054281808741948,VELLARADA,Thiruvananthapuram,0.9406928825898618,0.2865165363544045,54.63643940348376,0.5965974924481064,0.054281808741948,0.9,0.3169871828927219,49,Low Priority,47,1996513.352112676,632869.143093902,True,11,0.3169871828927219,0,47,0,0.0,0.0
KSRTC-050,3949922,5362244,47.5,61.333333333333336,2594.238686435486,4939,94798128,0.9,Conditional,0.939424100260334,0.00492308701152155,0.05565281272814448,NEDUMANGAD,Thiruvananthapuram,0.939424100260334,0.28877659534571276,54.61555129337866,0.5708393982308889,0.05565281272814448,0.9,0.31306198334114943,50,Low Priority,48,1995750.0631578946,624793.4730254348,True,12,0.31306198334114943,0,48,0,0.0,0.0
KSRTC-083,3948767,5360676,47.5,61.166666666666664,2593.480102928563,4935,94770408,0.9,Conditional,0.9388769292367981,0.005038135472391469,0.056084935290810455,TRIVANDRUM - CITY,Thiruvananthapuram,0.9388769292367981,0.28856529794123154,54.59958111428554,0.5511458320979814,0.056084935290810455,0.9,0.30923272991828993,51,Low Priority,48,1995166.4842105263,616970.7785538977,True,12,0.30923272991828993,0,48,0,0.0,0.0
KSRTC-076,3558610,4831015,42.75,39.833333333333336,2337.2319078544297,4450,85406640,0.9,Conditional,0.8606440512494666,0.07714968074427976,0.0622062680062537,THAMARASSERY,Kozhikode,0.8606440512494666,0.21718940059042532,54.67209141179953,0.6405616320763279,0.0622062680062537,0.9,0.3081516537948947,52,Low Priority,43,1997816.1403508773,615630.3476272563,True,10,0.3081516537948947,0,43,0,0.0,0.0
KSRTC-070,3947576,5359059,47.5,61.166666666666664,2592.697875260385,4935,94741824,0.9,Conditional,0.9388744164029752,0.005038318852674593,0.05608726474435023,POOVAR,Thiruvananthapuram,0.9388744164029752,0.2883474146436236,54.583113163376524,0.5308384405271506,0.05608726474435023,0.9,0.3051068183962573,53,Low Priority,48,1994564.7157894736,608555.2945199615,True,12,0.3051068183962573,0,48,0,0.0,0.0
KSRTC-065,3967714,5386396,47.75,61.75,2605.9241563533883,4961,95225136,0.9,Conditional,0.9381154649997286,0.004672658907085128,0.05721187609318636,PEROORKKADA,Thiruvananthapuram,0.9381154649997286,0.29203149008210233,54.57432788174635,0.5200049036099199,0.05721187609318636,0.9,0.30449517818388927,54,Low Priority,48,1994243.6858638744,607237.5864692165,True,12,0.30449517818388927,0,48,0,0.0,0.0
KSRTC-052,3940176,5349011,47.416666666666664,61.0,2587.8376865580203,4926,94564224,0.9,Conditional,0.9392206815086606,0.005147863653678048,0.05563145483766147,NEYYATTINKARA,Thiruvananthapuram,0.9392206815086606,0.28699364772313785,54.57654172002855,0.5227348899403113,0.05563145483766147,0.9,0.3028976542400682,55,Low Priority,47,1994324.5834797893,604076.2381293293,True,11,0.3028976542400682,0,47,0,0.0,0.0
KSRTC-091,3958341,5373673,47.666666666666664,61.583333333333336,2599.768136257812,4948,95000184,0.9,Conditional,0.9385316284276087,0.004779040095752462,0.056689331476638946,VITHURA,Thiruvananthapuram,0.9385316284276087,0.2903167796299789,54.54059027114291,0.47840149630239204,0.056689331476638946,0.9,0.2954510657401277,56,Low Priority,48,1993010.8531468532,588837.1805938788,True,12,0.2954510657401277,0,48,0,0.0,0.0
KSRTC-089,3931040,5336608,47.333333333333336,60.666666666666664,2581.837323857371,4915,94344960,0.9,Conditional,0.9389808478068621,0.005380276594805868,0.055638875598332124,VENJARAMOOD,Thiruvananthapuram,0.9389808478068621,0.2853222944007651,54.545858954733184,0.4848985536060972,0.055638875598332124,0.9,0.2948319492807818,57,Low Priority,47,1993203.38028169,587660.0379214941,True,11,0.2948319492807818,0,47,0,0.0,0.0
KSRTC-092,3936900,5344566,47.416666666666664,60.833333333333336,2585.686067883838,4922,94485600,0.9,Conditional,0.9386643632743693,0.005268487491102957,0.056067149234527706,VIZHINJAM,Thiruvananthapuram,0.9386643632743693,0.28639433144860926,54.53116487628481,0.4667786061717026,0.056067149234527706,0.9,0.2917008803627344,58,Low Priority,47,1992666.4323374343,581262.5525820986,True,11,0.2917008803627344,0,47,0,0.0,0.0
KSRTC-057,3936749,5344362,47.416666666666664,60.916666666666664,2585.5868937630194,4921,94481976,0.9,Conditional,0.9389820402366382,0.005211720912677923,0.055806238850683934,PALODE,Thiruvananthapuram,0.9389820402366382,0.28636670728577235,54.52907333067879,0.464199424593838,0.055806238850683934,0.9,0.2910723926447729,59,Low Priority,47,1992590.0035149385,579987.9398831496,True,11,0.2910723926447729,0,47,0,0.0,0.0
KSRTC-060,3963650,5380879,47.75,61.583333333333336,2603.2549932606303,4953,95127600,0.9,Conditional,0.9376150746698613,0.004786664622369842,0.05759826070776907,PARASSALA,Thiruvananthapuram,0.9376150746698613,0.29128801592468956,54.51842917823309,0.4510736281393395,0.05759826070776907,0.9,0.2906404346883824,60,Low Priority,48,1992201.0471204189,579014.1783217292,True,12,0.2906404346883824,0,48,0,0.0,0.0
KSRTC-004,4066065,5519911,49.166666666666664,45.0,2670.519348119103,5081,97585560,0.9,Conditional,0.7918971891174593,0.040368590443212414,0.16773422043932815,ANKAMALY,Ernakulam,0.7918971891174593,0.3100239671627369,54.31564775835464,0.20101448480622797,0.16773422043932815,0.9,0.2903037752857979,61,Low Priority,49,1984791.0508474577,576192.3352144831,True,12,0.2903037752857979,0,49,0,0.0,0.0
KSRTC-090,3956672,5371408,47.666666666666664,61.5,2598.6719666707513,4946,94960128,0.9,Conditional,0.93825427407556,0.004834713795971439,0.05691101212846868,VIKAS BHAVAN,Thiruvananthapuram,0.93825427407556,0.2900114503069666,54.5175937063794,0.4500433691731184,0.05691101212846868,0.9,0.28977651377810115,62,Low Priority,48,1992170.5174825175,577284.2274075997,True,12,0.28977651377810115,0,48,0,0.0,0.0
